scenario,topology_model,node_count,controller_budget,trial,algorithm,avg_latency,runtime_ms,iterations_budget,iterations_to_converge,topology_seed,trial_seed,controllers
waxman_n20_k5,waxman,20,5,2,genetic,1.567727889800311,121.02660001255572,50,12,8018,80360,n1;n12;n13;n19;n9
waxman_n20_k5,waxman,20,5,2,bandit_rl,1.7193995001421065,170.67989998031408,300,54,8018,80360,n1;n19;n4;n5;n8
waxman_n20_k5,waxman,20,5,3,random,2.8867913236223695,0.02929999027401209,1,1,8018,80491,n19;n11;n12;n16;n14
waxman_n20_k5,waxman,20,5,3,greedy_k_center,2.0539171014124666,0.16380002489313483,1,1,8018,80491,n11;n15;n14;n17;n3
waxman_n20_k5,waxman,20,5,3,kmeans,2.705731127060022,23.96339998813346,1,1,8018,80491,n16;n10;n9;n3;n13
waxman_n20_k5,waxman,20,5,3,genetic,1.5417542627165668,130.02680003410205,50,36,8018,80491,n10;n13;n19;n5;n9
waxman_n20_k5,waxman,20,5,3,bandit_rl,1.6550226757027235,170.34910002257675,300,16,8018,80491,n1;n11;n13;n16;n9
waxman_n20_k5,waxman,20,5,4,random,2.5099981863735836,0.029999995604157448,1,1,8018,80622,n10;n8;n7;n19;n5
waxman_n20_k5,waxman,20,5,4,greedy_k_center,2.0539171014124666,0.3266999847255647,1,1,8018,80622,n11;n15;n14;n17;n3
waxman_n20_k5,waxman,20,5,4,kmeans,2.705731127060022,22.728900017682463,1,1,8018,80622,n9;n13;n10;n16;n3
waxman_n20_k5,waxman,20,5,4,genetic,1.5417542627165666,144.41580005222932,50,25,8018,80622,n1;n13;n15;n19;n5
waxman_n20_k5,waxman,20,5,4,bandit_rl,1.6802776655813034,176.47020000731573,300,73,8018,80622,n13;n19;n2;n3;n9
waxman_n20_k5,waxman,20,5,5,random,2.5791877311690006,0.04449998959898949,1,1,8018,80753,n2;n1;n0;n4;n16
waxman_n20_k5,waxman,20,5,5,greedy_k_center,2.0539171014124666,0.26840000646188855,1,1,8018,80753,n11;n15;n14;n17;n3
waxman_n20_k5,waxman,20,5,5,kmeans,2.705731127060022,26.470899989362806,1,1,8018,80753,n9;n16;n13;n10;n3
waxman_n20_k5,waxman,20,5,5,genetic,1.5417542627165666,120.97539997193962,50,12,8018,80753,n1;n13;n15;n19;n5
waxman_n20_k5,waxman,20,5,5,bandit_rl,1.715260469715351,168.92879997612908,300,16,8018,80753,n10;n11;n13;n19;n5
waxman_n50_k3,waxman,50,3,1,random,12.75224446533035,0.03390002530068159,1,1,9015,90236,n43;n38;n36
waxman_n50_k3,waxman,50,3,1,greedy_k_center,12.335806809449934,0.20249997032806277,1,1,9015,90236,n2;n6;n24
waxman_n50_k3,waxman,50,3,1,kmeans,14.70760935173716,23.488899983931333,1,1,9015,90236,n13;n8;n20
waxman_n50_k3,waxman,50,3,1,genetic,7.4357083461503635,267.8789999918081,50,22,9015,90236,n0;n12;n37
waxman_n50_k3,waxman,50,3,1,bandit_rl,8.485426396408677,1064.3867999897338,300,25,9015,90236,n0;n25;n33
waxman_n50_k3,waxman,50,3,2,random,13.390554729646972,0.030499999411404133,1,1,9015,90367,n1;n38;n30
waxman_n50_k3,waxman,50,3,2,greedy_k_center,12.335806809449934,0.20350003615021706,1,1,9015,90367,n2;n6;n24
waxman_n50_k3,waxman,50,3,2,kmeans,14.70760935173716,17.785800038836896,1,1,9015,90367,n20;n8;n13
waxman_n50_k3,waxman,50,3,2,genetic,7.3646227071604065,185.91489997925237,50,17,9015,90367,n0;n12;n44
waxman_n50_k3,waxman,50,3,2,bandit_rl,8.77044855372272,955.9892999823205,300,4,9015,90367,n26;n32;n34
waxman_n50_k3,waxman,50,3,3,random,11.443280604991706,0.027900037821382284,1,1,9015,90498,n19;n33;n9
waxman_n50_k3,waxman,50,3,3,greedy_k_center,12.335806809449934,0.1821999903768301,1,1,9015,90498,n2;n6;n24
waxman_n50_k3,waxman,50,3,3,kmeans,14.70760935173716,21.528200013563037,1,1,9015,90498,n20;n8;n13
waxman_n50_k3,waxman,50,3,3,genetic,7.3646227071604065,206.69389999238774,50,24,9015,90498,n0;n12;n44
waxman_n50_k3,waxman,50,3,3,bandit_rl,9.07397531435722,1010.0501999841072,300,23,9015,90498,n26;n48;n9
waxman_n50_k3,waxman,50,3,4,random,9.559192824421599,0.027600035537034273,1,1,9015,90629,n9;n27;n31
waxman_n50_k3,waxman,50,3,4,greedy_k_center,12.335806809449934,0.18360000103712082,1,1,9015,90629,n2;n6;n24
waxman_n50_k3,waxman,50,3,4,kmeans,14.70760935173716,17.57009996799752,1,1,9015,90629,n8;n20;n13
